Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
8.74,1.385,2.39087
8.74,1.385,2.39087
8.75,1.385,2.40472
8.76,1.385,2.41857
8.77,1.385,2.43242
8.78,1.385,2.44627
8.79,1.385,2.46012
8.79,1.385,2.46012
8.8,1.385,2.47397
8.81,1.385,2.48782
8.82,1.385,2.50167
8.83,1.385,2.51552
8.83,1.386,2.51552
8.84,1.386,2.52938
8.85,1.386,2.54324
8.86,1.386,2.5571
8.87,1.387,2.57097
8.88,1.387,2.58484
8.89,1.387,2.59871
8.89,1.387,2.59871
8.9,1.387,2.61258
8.91,1.387,2.62645
8.92,1.387,2.64032
8.93,1.387,2.65419
8.93,1.387,2.65419
8.94,1.387,2.66806
8.95,1.387,2.68193
8.96,1.387,2.6958
8.97,1.387,2.70967
8.98,1.387,2.72354
8.99,1.388,2.73742
8.99,1.388,2.73742
9,1.388,2.7513
9.01,1.388,2.76518
9.02,1.387,2.77905
9.03,1.387,2.79292
9.04,1.387,2.80679
9.04,1.387,2.80679
9.05,1.387,2.82066
9.06,1.387,2.83453
9.07,1.387,2.8484
9.08,1.387,2.86227
9.09,1.387,2.87614
9.09,1.388,2.87614
9.1,1.388,2.89002
9.11,1.388,2.9039
9.12,1.388,2.91778
9.13,1.388,2.93166
9.13,1.389,2.93166
9.14,1.389,2.94555
9.15,1.389,2.95944
9.16,1.39,2.97334
9.17,1.39,2.98724
9.18,1.39,3.00114
9.18,1.39,3.00114
9.19,1.39,3.01504
9.2,1.39,3.02894
9.21,1.391,3.04285
9.22,1.391,3.05676
9.23,1.391,3.07067
9.23,1.391,3.07067
9.24,1.391,3.08458
9.25,1.391,3.09849
9.26,1.391,3.1124
9.27,1.391,3.12631
9.28,1.391,3.14022
9.29,1.391,3.15413
9.29,1.391,3.15413
9.3,1.391,3.16804
9.31,1.391,3.18195
9.32,1.391,3.19586
9.33,1.391,3.20977
9.33,1.391,3.20977
9.34,1.392,3.22369
9.35,1.392,3.23761
9.36,1.392,3.25153
9.37,1.393,3.26546
9.38,1.393,3.27939
9.38,1.393,3.27939
9.39,1.393,3.29332
9.4,1.393,3.30725
9.41,1.393,3.32118
9.42,1.393,3.33511
9.43,1.393,3.34904
9.44,1.393,3.36297
9.44,1.393,3.36297
9.45,1.393,3.3769
9.46,1.393,3.39083
9.47,1.394,3.40477
9.48,1.394,3.41871
9.48,1.394,3.41871
9.49,1.395,3.43266
9.5,1.395,3.44661
9.51,1.395,3.46056
9.52,1.395,3.47451
9.53,1.395,3.48846
9.54,1.395,3.50241
9.54,1.395,3.50241
9.55,1.396,3.51637
9.56,1.396,3.53033
9.57,1.396,3.54429
9.58,1.396,3.55825
9.58,1.396,3.55825
9.59,1.396,3.57221
9.6,1.396,3.58617
9.61,1.396,3.60013
9.62,1.396,3.61409
9.63,1.396,3.62805
9.64,1.396,3.64201
9.64,1.396,3.64201
9.65,1.397,3.65598
9.66,1.397,3.66995
9.67,1.397,3.68392
9.68,1.397,3.69789
9.69,1.397,3.71186
9.69,1.397,3.71186
9.7,1.397,3.72583
9.71,1.397,3.7398
9.72,1.397,3.75377
9.73,1.398,3.76775
9.73,1.398,3.76775
9.74,1.398,3.78173
9.75,1.398,3.79571
9.76,1.399,3.8097
9.77,1.399,3.82369
9.78,1.399,3.83768
9.79,1.399,3.85167
9.79,1.4,3.85167
9.8,1.4,3.86567
9.81,1.4,3.87967
9.82,1.4,3.89367
9.83,1.4,3.90767
9.84,1.401,3.92168
9.84,1.401,3.92168
9.85,1.401,3.93569
9.86,1.401,3.9497
9.87,1.401,3.96371
9.88,1.401,3.97772
9.88,1.401,3.97772
9.89,1.401,3.99173
9.9,1.401,4.00574
9.91,1.401,4.01975
9.92,1.401,4.03376
9.93,1.401,4.04777
9.93,1.402,4.04777
9.94,1.402,4.06179
9.95,1.402,4.07581
9.96,1.403,4.08984
9.97,1.403,4.10387
9.98,1.403,4.1179
9.98,1.403,4.1179
9.99,1.404,4.13194
10,1.404,4.14598
10.01,1.404,4.16002
10.02,1.404,4.17406
10.03,1.404,4.1881
10.03,1.404,4.1881
10.04,1.404,4.20214
10.05,1.404,4.21618
10.06,1.404,4.23022
10.07,1.404,4.24426
10.08,1.404,4.2583
10.08,1.404,4.2583
10.09,1.404,4.27234
10.1,1.405,4.28639
10.11,1.405,4.30044
10.12,1.405,4.31449
10.12,1.405,4.31449
10.13,1.405,4.32854
10.14,1.406,4.3426
10.15,1.406,4.35666
10.16,1.406,4.37072
10.17,1.406,4.38478
10.18,1.406,4.39884
10.18,1.406,4.39884
10.19,1.406,4.4129
10.2,1.406,4.42696
10.21,1.406,4.44102
10.22,1.406,4.45508
10.23,1.406,4.46914
10.23,1.406,4.46914
10.24,1.406,4.4832
10.25,1.406,4.49726
10.26,1.407,4.51133
10.27,1.407,4.5254
10.28,1.407,4.53947
10.28,1.407,4.53947
10.29,1.407,4.55354
10.3,1.407,4.56761
10.31,1.408,4.58169
10.32,1.408,4.59577
10.33,1.408,4.60985
10.33,1.408,4.60985
10.34,1.407,4.62392
10.35,1.407,4.63799
10.36,1.407,4.65206
10.37,1.407,4.66613
10.38,1.407,4.6802
10.38,1.407,4.6802
10.39,1.408,4.69428
10.4,1.408,4.70836
10.41,1.408,4.72244
10.42,1.408,4.73652
10.43,1.408,4.7506
10.43,1.408,4.7506
10.44,1.408,4.76468
10.45,1.408,4.77876
10.46,1.408,4.79284
10.47,1.408,4.80692
10.47,1.408,4.80692
10.48,1.408,4.821
10.49,1.408,4.83508
10.5,1.408,4.84916
10.51,1.408,4.86324
10.52,1.408,4.87732
10.52,1.409,4.87732
10.53,1.409,4.89141
10.54,1.409,4.9055
10.55,1.409,4.91959
10.56,1.409,4.93368
10.57,1.409,4.94777
10.57,1.409,4.94777
10.58,1.409,4.96186
10.59,1.409,4.97595
10.6,1.409,4.99004
10.61,1.409,5.00413
10.62,1.409,5.01822
10.63,1.409,5.03231
10.63,1.409,5.03231
10.64,1.409,5.0464
10.65,1.409,5.06049
10.66,1.409,5.07458
10.67,1.409,5.08867
10.68,1.41,5.10277
10.68,1.41,5.10277
10.69,1.41,5.11687
10.7,1.41,5.13097
10.71,1.41,5.14507
10.72,1.41,5.15917
10.72,1.411,5.15917
10.73,1.411,5.17328
10.74,1.41,5.18738
10.75,1.41,5.20148
10.76,1.41,5.21558
10.77,1.41,5.22968
10.77,1.41,5.22968
10.78,1.41,5.24378
10.79,1.41,5.25788
10.8,1.41,5.27198
10.81,1.41,5.28608
10.82,1.411,5.30019
10.83,1.411,5.3143
10.83,1.411,5.3143
10.84,1.411,5.32841
10.85,1.411,5.34252
10.86,1.411,5.35663
10.87,1.411,5.37074
10.87,1.411,5.37074
10.88,1.411,5.38485
10.89,1.411,5.39896
10.9,1.411,5.41307
10.91,1.411,5.42718
10.92,1.411,5.44129
10.92,1.412,5.44129
10.93,1.412,5.45541
10.94,1.412,5.46953
10.95,1.412,5.48365
10.96,1.412,5.49777
10.97,1.412,5.51189
10.97,1.412,5.51189
10.98,1.412,5.52601
10.99,1.412,5.54013
11,1.412,5.55425
11.01,1.412,5.56837
11.02,1.412,5.58249
11.03,1.412,5.59661
11.03,1.413,5.59661
11.04,1.413,5.61074
11.05,1.413,5.62487
11.06,1.413,5.639
11.07,1.414,5.65314
11.07,1.414,5.65314
11.08,1.414,5.66728
11.09,1.414,5.68142
11.1,1.414,5.69556
11.11,1.414,5.7097
11.12,1.414,5.72384
11.13,1.414,5.73798
11.13,1.414,5.73798
11.14,1.415,5.75213
11.15,1.415,5.76628
11.16,1.415,5.78043
11.17,1.415,5.79458
11.17,1.415,5.79458
11.18,1.415,5.80873
11.19,1.415,5.82288
11.2,1.415,5.83703
11.21,1.415,5.85118
11.22,1.415,5.86533
11.22,1.416,5.86533
11.23,1.416,5.87949
11.24,1.416,5.89365
11.25,1.416,5.90781
11.26,1.416,5.92197
11.27,1.416,5.93613
11.28,1.415,5.95028
11.28,1.415,5.95028
11.29,1.416,5.96444
11.3,1.416,5.9786
11.31,1.416,5.99276
11.32,1.416,6.00692
11.32,1.416,6.00692
11.33,1.416,6.02108
11.34,1.416,6.03524
11.35,1.417,6.04941
11.36,1.417,6.06358
11.36,1.417,6.06358
11.37,1.417,6.07775
11.38,1.417,6.09192
11.39,1.417,6.10609
11.4,1.417,6.12026
11.41,1.418,6.13444
11.41,1.418,6.13444
11.42,1.418,6.14862
11.43,1.418,6.1628
11.44,1.418,6.17698
11.45,1.418,6.19116
11.46,1.418,6.20534
11.47,1.418,6.21952
11.47,1.418,6.21952
11.48,1.418,6.2337
11.49,1.418,6.24788
11.5,1.418,6.26206
11.51,1.418,6.27624
11.52,1.418,6.29042
11.52,1.418,6.29042
11.53,1.418,6.3046
11.54,1.418,6.31878
11.55,1.418,6.33296
11.56,1.418,6.34714
11.57,1.418,6.36132
11.57,1.418,6.36132
11.58,1.418,6.3755
11.59,1.418,6.38968
11.6,1.419,6.40387
11.61,1.419,6.41806
11.62,1.419,6.43225
11.62,1.419,6.43225
11.63,1.419,6.44644
11.64,1.419,6.46063
11.65,1.419,6.47482
11.66,1.419,6.48901
11.67,1.419,6.5032
11.67,1.419,6.5032
11.68,1.419,6.51739
11.69,1.419,6.53158
11.7,1.419,6.54577
11.71,1.419,6.55996
11.72,1.419,6.57415
11.72,1.419,6.57415
11.73,1.419,6.58834
11.74,1.419,6.60253
11.75,1.419,6.61672
11.76,1.419,6.63091
11.77,1.419,6.6451
11.77,1.419,6.6451
11.78,1.419,6.65929
11.79,1.419,6.67348
11.8,1.419,6.68767
11.81,1.42,6.70187
11.82,1.42,6.71607
11.82,1.42,6.71607
11.83,1.419,6.73026
11.84,1.419,6.74445
11.85,1.419,6.75864
11.86,1.419,6.77283
11.86,1.419,6.77283
11.87,1.419,6.78702
11.88,1.419,6.80121
11.89,1.42,6.81541
11.9,1.42,6.82961
11.91,1.42,6.84381
11.91,1.42,6.84381
11.92,1.42,6.85801
11.93,1.42,6.87221
11.94,1.42,6.88641
11.95,1.42,6.90061
11.96,1.42,6.91481
11.97,1.42,6.92901
11.97,1.42,6.92901
11.98,1.42,6.94321
11.99,1.42,6.95741
12,1.42,6.97161
12.01,1.421,6.98582
12.01,1.421,6.98582
12.02,1.421,7.00003
12.03,1.421,7.01424
12.04,1.421,7.02845
12.05,1.421,7.04266
12.06,1.421,7.05687
12.07,1.421,7.07108
12.07,1.421,7.07108
12.08,1.421,7.08529
12.09,1.421,7.0995
12.1,1.421,7.11371
12.11,1.421,7.12792
12.12,1.421,7.14213
12.12,1.421,7.14213
12.13,1.422,7.15635
12.14,1.421,7.17056
12.15,1.421,7.18477
12.16,1.421,7.19898
12.17,1.421,7.21319
12.17,1.421,7.21319
12.18,1.421,7.2274
12.19,1.421,7.24161
12.2,1.421,7.25582
12.21,1.421,7.27003
12.22,1.421,7.28424
12.22,1.421,7.28424
12.23,1.422,7.29846
12.24,1.422,7.31268
12.25,1.422,7.3269
12.26,1.422,7.34112
12.27,1.422,7.35534
12.27,1.423,7.35534
12.28,1.423,7.36957
12.29,1.423,7.3838
12.3,1.423,7.39803
12.31,1.422,7.41225
12.32,1.422,7.42647
12.32,1.422,7.42647
12.33,1.422,7.44069
12.34,1.422,7.45491
12.35,1.422,7.46913
12.36,1.422,7.48335
12.37,1.423,7.49758
12.37,1.423,7.49758
12.38,1.423,7.51181
12.39,1.423,7.52604
12.4,1.423,7.54027
12.41,1.423,7.5545
12.42,1.423,7.56873
12.42,1.423,7.56873
12.43,1.423,7.58296
12.44,1.423,7.59719
12.45,1.423,7.61142
12.46,1.423,7.62565
12.47,1.424,7.63989
12.47,1.424,7.63989
12.48,1.424,7.65413
12.49,1.424,7.66837
12.5,1.424,7.68261
12.51,1.424,7.69685
12.52,1.424,7.71109
12.52,1.425,7.71109
12.53,1.425,7.72534
12.54,1.425,7.73959
12.55,1.426,7.75385
12.56,1.426,7.76811
12.57,1.426,7.78237
12.57,1.426,7.78237
12.58,1.425,7.79662
12.59,1.425,7.81087
12.6,1.425,7.82512
12.61,1.425,7.83937
12.61,1.425,7.83937
12.62,1.425,7.85362
12.63,1.425,7.86787
12.64,1.425,7.88212
12.65,1.425,7.89637
12.66,1.425,7.91062
12.67,1.425,7.92487
12.67,1.425,7.92487
12.68,1.425,7.93912
12.69,1.425,7.95337
12.7,1.426,7.96763
12.71,1.426,7.98189
12.72,1.426,7.99615
12.72,1.426,7.99615
12.73,1.426,8.01041
12.74,1.426,8.02467
12.75,1.426,8.03893
12.76,1.426,8.05319
12.76,1.426,8.05319
12.77,1.426,8.06745
12.78,1.426,8.08171
12.79,1.426,8.09597
12.8,1.426,8.11023
12.81,1.426,8.12449
12.81,1.426,8.12449
12.82,1.426,8.13875
12.83,1.427,8.15302
12.84,1.427,8.16729
12.85,1.427,8.18156
12.86,1.427,8.19583
12.87,1.427,8.2101
12.87,1.427,8.2101
12.88,1.427,8.22437
12.89,1.427,8.23864
12.9,1.427,8.25291
12.91,1.427,8.26718
12.91,1.427,8.26718
12.92,1.427,8.28145
12.93,1.427,8.29572
12.94,1.427,8.30999
12.95,1.427,8.32426
12.96,1.428,8.33854
12.97,1.428,8.35282
12.97,1.428,8.35282
12.98,1.428,8.3671
12.99,1.428,8.38138
13,1.428,8.39566
13.01,1.428,8.40994
13.01,1.428,8.40994
13.02,1.428,8.42422
13.03,1.428,8.4385
13.04,1.428,8.45278
13.05,1.428,8.46706
13.06,1.428,8.48134
13.06,1.428,8.48134
13.07,1.428,8.49562
13.08,1.428,8.5099
13.09,1.428,8.52418
13.1,1.428,8.53846
13.11,1.428,8.55274
13.12,1.428,8.56702
13.12,1.428,8.56702
13.13,1.428,8.5813
13.14,1.428,8.59558
13.15,1.428,8.60986
13.16,1.428,8.62414
13.16,1.429,8.62414
13.17,1.429,8.63843
13.18,1.429,8.65272
13.19,1.429,8.66701
13.2,1.43,8.68131
13.21,1.43,8.69561
13.21,1.429,8.69561
13.22,1.429,8.7099
13.23,1.429,8.72419
13.24,1.429,8.73848
13.25,1.428,8.75276
13.26,1.428,8.76704
13.27,1.428,8.78132
13.27,1.428,8.78132
13.28,1.429,8.79561
13.29,1.429,8.8099
13.3,1.43,8.8242
13.31,1.43,8.8385
13.31,1.43,8.8385
13.32,1.43,8.8528
13.33,1.43,8.8671
13.34,1.43,8.8814
13.35,1.43,8.8957
13.36,1.43,8.91
13.36,1.43,8.91
13.37,1.43,8.9243
13.38,1.43,8.9386
13.39,1.43,8.9529
13.4,1.43,8.9672
13.41,1.43,8.9815
13.41,1.43,8.9815
13.42,1.43,8.9958
13.43,1.43,9.0101
13.44,1.43,9.0244
13.45,1.431,9.03871
13.46,1.431,9.05302
13.46,1.431,9.05302
13.47,1.431,9.06733
13.48,1.431,9.08164
13.49,1.432,9.09596
13.5,1.432,9.11028
13.51,1.432,9.1246
13.51,1.431,9.1246
13.52,1.431,9.13891
13.53,1.431,9.15322
13.54,1.43,9.16752
13.55,1.43,9.18182
13.56,1.43,9.19612
13.56,1.43,9.19612
13.57,1.43,9.21042
13.58,1.43,9.22472
13.59,1.43,9.23902
13.6,1.431,9.25333
13.61,1.431,9.26764
13.62,1.431,9.28195
13.62,1.431,9.28195
13.63,1.431,9.29626
13.64,1.431,9.31057
13.65,1.431,9.32488
13.66,1.431,9.33919
13.66,1.431,9.33919
13.67,1.432,9.35351
13.68,1.432,9.36783
13.69,1.432,9.38215
13.7,1.432,9.39647
13.71,1.432,9.41079
13.71,1.432,9.41079
13.72,1.432,9.42511
13.73,1.432,9.43943
13.74,1.433,9.45376
13.75,1.433,9.46809
13.76,1.433,9.48242
13.77,1.433,9.49675
13.77,1.433,9.49675
13.78,1.433,9.51108
13.79,1.433,9.52541
13.8,1.433,9.53974
13.81,1.433,9.55407
13.81,1.433,9.55407
13.82,1.433,9.5684
13.83,1.433,9.58273
13.84,1.433,9.59706
13.85,1.433,9.61139
13.86,1.433,9.62572
13.87,1.433,9.64005
13.87,1.433,9.64005
13.88,1.433,9.65438
13.89,1.433,9.66871
13.9,1.434,9.68305
13.91,1.434,9.69739
13.91,1.434,9.69739
13.92,1.434,9.71173
13.93,1.434,9.72607
13.94,1.434,9.74041
13.95,1.434,9.75475
13.96,1.434,9.76909
13.96,1.434,9.76909
13.97,1.434,9.78343
13.98,1.434,9.79777
13.99,1.434,9.81211
14,1.434,9.82645
14.01,1.434,9.84079
14.01,1.435,9.84079
14.02,1.435,9.85514
14.03,1.435,9.86949
14.04,1.435,9.88384
14.05,1.435,9.89819
14.06,1.435,9.91254
14.06,1.436,9.91254
14.07,1.436,9.9269
14.08,1.436,9.94126
14.09,1.436,9.95562
14.1,1.436,9.96998
14.11,1.436,9.98434
14.11,1.436,9.98434
14.12,1.436,9.9987
14.13,1.436,10.01306
14.14,1.436,10.02742
14.15,1.436,10.04178
14.16,1.436,10.05614
14.16,1.436,10.05614
14.17,1.436,10.0705
14.18,1.436,10.08486
14.19,1.436,10.09922
14.2,1.436,10.11358
14.21,1.436,10.12794
14.21,1.436,10.12794
14.22,1.436,10.1423
14.23,1.436,10.15666
14.24,1.436,10.17102
14.25,1.437,10.18539
14.25,1.437,10.18539
14.26,1.437,10.19976
14.27,1.437,10.21413
14.28,1.437,10.2285
14.29,1.437,10.24287
14.3,1.437,10.25724
14.31,1.437,10.27161
14.31,1.436,10.27161
14.32,1.436,10.28597
14.33,1.436,10.30033
14.34,1.436,10.31469
14.35,1.436,10.32905
14.36,1.436,10.34341
14.36,1.436,10.34341
14.37,1.436,10.35777
14.38,1.436,10.37213
14.39,1.437,10.3865
14.4,1.437,10.40087
14.41,1.437,10.41524
14.41,1.437,10.41524
14.42,1.437,10.42961
14.43,1.437,10.44398
14.44,1.438,10.45836
14.45,1.438,10.47274
14.46,1.438,10.48712
14.46,1.438,10.48712
14.47,1.438,10.5015
14.48,1.438,10.51588
14.49,1.438,10.53026
14.5,1.438,10.54464
14.5,1.438,10.54464
14.51,1.438,10.55902
14.52,1.438,10.5734
14.53,1.438,10.58778
14.54,1.437,10.60215
14.55,1.437,10.61652
14.56,1.437,10.63089
14.56,1.437,10.63089
14.57,1.437,10.64526
14.58,1.438,10.65964
14.59,1.438,10.67402
14.6,1.438,10.6884
14.61,1.438,10.70278
14.61,1.438,10.70278
14.62,1.438,10.71716
14.63,1.438,10.73154
14.64,1.437,10.74591
14.65,1.437,10.76028
14.66,1.437,10.77465
14.66,1.437,10.77465
14.67,1.437,10.78902
14.68,1.437,10.80339
14.69,1.437,10.81776
14.7,1.437,10.83213
14.71,1.437,10.8465
14.71,1.437,10.8465
14.72,1.437,10.86087
14.73,1.437,10.87524
14.74,1.436,10.8896
14.75,1.436,10.90396
14.76,1.436,10.91832
14.76,1.436,10.91832
14.77,1.437,10.93269
14.78,1.437,10.94706
14.79,1.437,10.96143
14.8,1.438,10.97581
14.81,1.438,10.99019
14.81,1.438,10.99019
14.82,1.439,11.00458
14.83,1.439,11.01897
14.84,1.439,11.03336
14.85,1.438,11.04774
14.86,1.438,11.06212
14.86,1.438,11.06212
14.87,1.438,11.0765
14.88,1.438,11.09088
14.89,1.438,11.10526
14.9,1.438,11.11964
14.91,1.439,11.13403
14.91,1.439,11.13403
14.92,1.439,11.14842
14.93,1.439,11.16281
14.94,1.439,11.1772
14.95,1.439,11.19159
14.96,1.439,11.20598
14.96,1.439,11.20598
14.97,1.439,11.22037
14.98,1.439,11.23476
14.99,1.439,11.24915
15,1.439,11.26354
15.01,1.439,11.27793
15.01,1.439,11.27793
15.02,1.439,11.29232
15.03,1.439,11.30671
15.04,1.439,11.3211
15.05,1.439,11.33549
15.06,1.439,11.34988
15.06,1.439,11.34988
15.07,1.439,11.36427
15.08,1.439,11.37866
15.09,1.44,11.39306
15.1,1.44,11.40746
15.11,1.44,11.42186
15.11,1.441,11.42186
15.12,1.441,11.43627
15.13,1.441,11.45068
15.14,1.441,11.46509
15.15,1.441,11.4795
15.16,1.441,11.49391
15.17,1.441,11.50832
15.17,1.441,11.50832
15.18,1.441,11.52273
15.19,1.441,11.53714
15.2,1.441,11.55155
15.21,1.441,11.56596
15.21,1.441,11.56596
15.22,1.441,11.58037
15.23,1.441,11.59478
15.24,1.441,11.60919
15.25,1.441,11.6236
15.26,1.441,11.63801
15.26,1.441,11.63801
15.27,1.442,11.65243
15.28,1.442,11.66685
15.29,1.442,11.68127
15.3,1.442,11.69569
15.31,1.442,11.71011
15.31,1.442,11.71011
15.32,1.442,11.72453
15.33,1.442,11.73895
15.34,1.442,11.75337
15.35,1.442,11.76779
15.36,1.442,11.78221
15.36,1.442,11.78221
15.37,1.442,11.79663
15.38,1.443,11.81106
15.39,1.443,11.82549
15.4,1.443,11.83992
15.41,1.443,11.85435
15.41,1.443,11.85435
15.42,1.443,11.86878
15.43,1.443,11.88321
15.44,1.443,11.89764
15.45,1.443,11.91207
15.46,1.443,11.9265
15.46,1.443,11.9265
15.47,1.443,11.94093
15.48,1.444,11.95537
15.49,1.444,11.96981
15.5,1.444,11.98425
15.51,1.444,11.99869
15.51,1.444,11.99869
15.52,1.444,12.01313
15.53,1.444,12.02757
15.54,1.444,12.04201
15.55,1.445,12.05646
15.56,1.445,12.07091
15.57,1.445,12.08536
15.57,1.445,12.08536
15.58,1.445,12.09981
15.59,1.445,12.11426
15.6,1.445,12.12871
15.61,1.445,12.14316
15.61,1.446,12.14316
15.62,1.446,12.15762
15.63,1.446,12.17208
15.64,1.446,12.18654
15.65,1.446,12.201
15.66,1.447,12.21547
15.66,1.447,12.21547
15.67,1.447,12.22994
15.68,1.447,12.24441
15.69,1.447,12.25888
15.7,1.447,12.27335
15.71,1.447,12.28782
15.71,1.447,12.28782
15.72,1.447,12.30229
15.73,1.447,12.31676
15.74,1.447,12.33123
15.75,1.447,12.3457
15.76,1.447,12.36017
15.76,1.447,12.36017
15.77,1.447,12.37464
15.78,1.447,12.38911
15.79,1.447,12.40358
15.8,1.447,12.41805
15.81,1.447,12.43252
15.81,1.447,12.43252
15.82,1.447,12.44699
15.83,1.447,12.46146
15.84,1.448,12.47594
15.85,1.448,12.49042
15.86,1.448,12.5049
15.87,1.448,12.51938
15.87,1.448,12.51938
15.88,1.448,12.53386
15.89,1.448,12.54834
15.9,1.448,12.56282
15.91,1.448,12.5773
15.91,1.448,12.5773
15.92,1.448,12.59178
15.93,1.449,12.60627
15.94,1.449,12.62076
15.95,1.449,12.63525
15.96,1.449,12.64974
15.96,1.449,12.64974
15.97,1.449,12.66423
15.98,1.449,12.67872
15.99,1.449,12.69321
16,1.45,12.70771
16.01,1.45,12.72221
16.01,1.45,12.72221
16.02,1.45,12.73671
16.03,1.45,12.75121
16.04,1.451,12.76572
16.05,1.451,12.78023
16.06,1.451,12.79474
16.06,1.45,12.79474
16.07,1.45,12.80924
16.08,1.45,12.82374
16.09,1.45,12.83824
16.1,1.45,12.85274
16.11,1.45,12.86724
16.11,1.45,12.86724
16.12,1.45,12.88174
16.13,1.45,12.89624
16.14,1.45,12.91074
16.15,1.45,12.92524
16.15,1.45,12.92524
16.16,1.45,12.93974
16.17,1.45,12.95424
16.18,1.45,12.96874
16.19,1.45,12.98324
16.2,1.451,12.99775
16.21,1.451,13.01226
16.21,1.451,13.01226
16.22,1.451,13.02677
16.23,1.451,13.04128
16.24,1.451,13.05579
16.25,1.451,13.0703
16.26,1.451,13.08481
16.26,1.451,13.08481
16.27,1.451,13.09932
16.28,1.451,13.11383
16.29,1.451,13.12834
16.3,1.451,13.14285
16.31,1.451,13.15736
16.31,1.451,13.15736
16.32,1.452,13.17188
16.33,1.452,13.1864
16.34,1.452,13.20092
16.35,1.452,13.21544
16.36,1.452,13.22996
16.36,1.452,13.22996
16.37,1.452,13.24448
16.38,1.452,13.259
16.39,1.452,13.27352
16.4,1.452,13.28804
16.41,1.452,13.30256
16.41,1.452,13.30256
16.42,1.452,13.31708
16.43,1.452,13.3316
16.44,1.452,13.34612
16.45,1.452,13.36064
16.46,1.452,13.37516
16.46,1.452,13.37516
16.47,1.452,13.38968
16.48,1.452,13.4042
16.49,1.452,13.41872
16.5,1.452,13.43324
16.51,1.452,13.44776
16.51,1.452,13.44776
16.52,1.453,13.46229
16.53,1.453,13.47682
16.54,1.453,13.49135
16.55,1.453,13.50588
16.56,1.453,13.52041
16.56,1.453,13.52041
16.57,1.453,13.53494
16.58,1.453,13.54947
16.59,1.453,13.564
16.6,1.453,13.57853
16.61,1.453,13.59306
16.62,1.453,13.60759
16.62,1.453,13.60759
16.63,1.454,13.62213
16.64,1.454,13.63667
16.65,1.454,13.65121
16.66,1.454,13.66575
16.66,1.454,13.66575
16.67,1.453,13.68028
16.68,1.453,13.69481
16.69,1.453,13.70934
16.7,1.454,13.72388
16.71,1.454,13.73842
16.71,1.454,13.73842
16.72,1.455,13.75297
16.73,1.455,13.76752
16.74,1.455,13.78207
16.75,1.456,13.79663
16.76,1.456,13.81119
16.76,1.456,13.81119
16.77,1.456,13.82575
16.78,1.456,13.84031
16.79,1.456,13.85487
16.8,1.455,13.86942
16.81,1.456,13.88398
16.81,1.456,13.88398
16.82,1.456,13.89854
16.83,1.456,13.9131
16.84,1.456,13.92766
16.85,1.456,13.94222
16.86,1.456,13.95678
16.86,1.456,13.95678
16.87,1.456,13.97134
16.88,1.456,13.9859
16.89,1.456,14.00046
16.9,1.456,14.01502
16.91,1.456,14.02958
16.91,1.456,14.02958
16.92,1.456,14.04414
