Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
23.51,1.418,6.27624
23.52,1.418,6.29042
23.52,1.418,6.29042
23.53,1.418,6.3046
23.54,1.418,6.31878
23.55,1.418,6.33296
23.56,1.418,6.34714
23.57,1.418,6.36132
23.57,1.418,6.36132
23.58,1.418,6.3755
23.59,1.418,6.38968
23.6,1.419,6.40387
23.61,1.419,6.41806
23.62,1.419,6.43225
23.62,1.419,6.43225
23.63,1.419,6.44644
23.64,1.419,6.46063
23.65,1.419,6.47482
23.66,1.419,6.48901
23.67,1.419,6.5032
23.67,1.419,6.5032
23.68,1.419,6.51739
23.69,1.419,6.53158
23.7,1.419,6.54577
23.71,1.419,6.55996
23.72,1.419,6.57415
23.72,1.419,6.57415
23.73,1.419,6.58834
23.74,1.419,6.60253
23.75,1.419,6.61672
23.76,1.419,6.63091
23.77,1.419,6.6451
23.77,1.419,6.6451
23.78,1.419,6.65929
23.79,1.419,6.67348
23.8,1.419,6.68767
23.81,1.42,6.70187
23.82,1.42,6.71607
23.82,1.42,6.71607
23.83,1.419,6.73026
23.84,1.419,6.74445
23.85,1.419,6.75864
23.86,1.419,6.77283
23.86,1.419,6.77283
23.87,1.419,6.78702
23.88,1.419,6.80121
23.89,1.42,6.81541
23.9,1.42,6.82961
23.91,1.42,6.84381
23.91,1.42,6.84381
23.92,1.42,6.85801
23.93,1.42,6.87221
23.94,1.42,6.88641
23.95,1.42,6.90061
23.96,1.42,6.91481
23.97,1.42,6.92901
23.97,1.42,6.92901
23.98,1.42,6.94321
23.99,1.42,6.95741
24,1.42,6.97161
24.01,1.421,6.98582
24.01,1.421,6.98582
24.02,1.421,7.00003
24.03,1.421,7.01424
24.04,1.421,7.02845
24.05,1.421,7.04266
24.06,1.421,7.05687
24.07,1.421,7.07108
24.07,1.421,7.07108
24.08,1.421,7.08529
24.09,1.421,7.0995
24.1,1.421,7.11371
24.11,1.421,7.12792
24.12,1.421,7.14213
24.12,1.421,7.14213
24.13,1.422,7.15635
24.14,1.421,7.17056
24.15,1.421,7.18477
24.16,1.421,7.19898
24.17,1.421,7.21319
24.17,1.421,7.21319
24.18,1.421,7.2274
24.19,1.421,7.24161
24.2,1.421,7.25582
24.21,1.421,7.27003
24.22,1.421,7.28424
24.22,1.421,7.28424
24.23,1.422,7.29846
24.24,1.422,7.31268
24.25,1.422,7.3269
24.26,1.422,7.34112
24.27,1.422,7.35534
24.27,1.423,7.35534
24.28,1.423,7.36957
24.29,1.423,7.3838
24.3,1.423,7.39803
24.31,1.422,7.41225
24.32,1.422,7.42647
24.32,1.422,7.42647
24.33,1.422,7.44069
24.34,1.422,7.45491
24.35,1.422,7.46913
24.36,1.422,7.48335
24.37,1.423,7.49758
24.37,1.423,7.49758
24.38,1.423,7.51181
24.39,1.423,7.52604
24.4,1.423,7.54027
24.41,1.423,7.5545
24.42,1.423,7.56873
24.42,1.423,7.56873
24.43,1.423,7.58296
24.44,1.423,7.59719
24.45,1.423,7.61142
24.46,1.423,7.62565
24.47,1.424,7.63989
24.47,1.424,7.63989
24.48,1.424,7.65413
24.49,1.424,7.66837
24.5,1.424,7.68261
24.51,1.424,7.69685
24.52,1.424,7.71109
24.52,1.425,7.71109
24.53,1.425,7.72534
24.54,1.425,7.73959
24.55,1.426,7.75385
24.56,1.426,7.76811
24.57,1.426,7.78237
24.57,1.426,7.78237
24.58,1.425,7.79662
24.59,1.425,7.81087
24.6,1.425,7.82512
24.61,1.425,7.83937
24.61,1.425,7.83937
24.62,1.425,7.85362
24.63,1.425,7.86787
24.64,1.425,7.88212
24.65,1.425,7.89637
24.66,1.425,7.91062
24.67,1.425,7.92487
24.67,1.425,7.92487
24.68,1.425,7.93912
24.69,1.425,7.95337
24.7,1.426,7.96763
24.71,1.426,7.98189
24.72,1.426,7.99615
24.72,1.426,7.99615
24.73,1.426,8.01041
24.74,1.426,8.02467
24.75,1.426,8.03893
24.76,1.426,8.05319
24.76,1.426,8.05319
24.77,1.426,8.06745
24.78,1.426,8.08171
24.79,1.426,8.09597
24.8,1.426,8.11023
24.81,1.426,8.12449
24.81,1.426,8.12449
24.82,1.426,8.13875
24.83,1.427,8.15302
24.84,1.427,8.16729
24.85,1.427,8.18156
24.86,1.427,8.19583
24.87,1.427,8.2101
24.87,1.427,8.2101
24.88,1.427,8.22437
24.89,1.427,8.23864
24.9,1.427,8.25291
24.91,1.427,8.26718
24.91,1.427,8.26718
24.92,1.427,8.28145
24.93,1.427,8.29572
24.94,1.427,8.30999
24.95,1.427,8.32426
24.96,1.428,8.33854
24.97,1.428,8.35282
24.97,1.428,8.35282
24.98,1.428,8.3671
24.99,1.428,8.38138
25,1.428,8.39566
25.01,1.428,8.40994
25.01,1.428,8.40994
25.02,1.428,8.42422
25.03,1.428,8.4385
25.04,1.428,8.45278
25.05,1.428,8.46706
25.06,1.428,8.48134
25.06,1.428,8.48134
25.07,1.428,8.49562
25.08,1.428,8.5099
25.09,1.428,8.52418
25.1,1.428,8.53846
25.11,1.428,8.55274
25.12,1.428,8.56702
25.12,1.428,8.56702
