Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
15.68,1.41,5.10277
15.68,1.41,5.10277
15.69,1.41,5.11687
15.7,1.41,5.13097
15.71,1.41,5.14507
15.72,1.41,5.15917
15.72,1.411,5.15917
15.73,1.411,5.17328
15.74,1.41,5.18738
15.75,1.41,5.20148
15.76,1.41,5.21558
15.77,1.41,5.22968
15.77,1.41,5.22968
15.78,1.41,5.24378
15.79,1.41,5.25788
15.8,1.41,5.27198
15.81,1.41,5.28608
15.82,1.411,5.30019
15.83,1.411,5.3143
15.83,1.411,5.3143
15.84,1.411,5.32841
15.85,1.411,5.34252
15.86,1.411,5.35663
15.87,1.411,5.37074
15.87,1.411,5.37074
15.88,1.411,5.38485
15.89,1.411,5.39896
15.9,1.411,5.41307
15.91,1.411,5.42718
15.92,1.411,5.44129
15.92,1.412,5.44129
15.93,1.412,5.45541
15.94,1.412,5.46953
15.95,1.412,5.48365
15.96,1.412,5.49777
15.97,1.412,5.51189
15.97,1.412,5.51189
15.98,1.412,5.52601
15.99,1.412,5.54013
16,1.412,5.55425
16.01,1.412,5.56837
16.02,1.412,5.58249
16.03,1.412,5.59661
16.03,1.413,5.59661
16.04,1.413,5.61074
16.05,1.413,5.62487
16.06,1.413,5.639
16.07,1.414,5.65314
16.07,1.414,5.65314
16.08,1.414,5.66728
16.09,1.414,5.68142
16.1,1.414,5.69556
16.11,1.414,5.7097
16.12,1.414,5.72384
16.13,1.414,5.73798
16.13,1.414,5.73798
16.14,1.415,5.75213
16.15,1.415,5.76628
16.16,1.415,5.78043
16.17,1.415,5.79458
16.17,1.415,5.79458
16.18,1.415,5.80873
16.19,1.415,5.82288
16.2,1.415,5.83703
16.21,1.415,5.85118
16.22,1.415,5.86533
16.22,1.416,5.86533
16.23,1.416,5.87949
16.24,1.416,5.89365
16.25,1.416,5.90781
16.26,1.416,5.92197
16.27,1.416,5.93613
16.28,1.415,5.95028
16.28,1.415,5.95028
16.29,1.416,5.96444
16.3,1.416,5.9786
16.31,1.416,5.99276
16.32,1.416,6.00692
16.32,1.416,6.00692
16.33,1.416,6.02108
16.34,1.416,6.03524
16.35,1.417,6.04941
16.36,1.417,6.06358
16.36,1.417,6.06358
16.37,1.417,6.07775
16.38,1.417,6.09192
16.39,1.417,6.10609
16.4,1.417,6.12026
16.41,1.418,6.13444
16.41,1.418,6.13444
16.42,1.418,6.14862
16.43,1.418,6.1628
16.44,1.418,6.17698
16.45,1.418,6.19116
16.46,1.418,6.20534
16.47,1.418,6.21952
16.47,1.418,6.21952
16.48,1.418,6.2337
16.49,1.418,6.24788
16.5,1.418,6.26206
16.51,1.418,6.27624
16.52,1.418,6.29042
16.52,1.418,6.29042
16.53,1.418,6.3046
16.54,1.418,6.31878
16.55,1.418,6.33296
16.56,1.418,6.34714
16.57,1.418,6.36132
16.57,1.418,6.36132
16.58,1.418,6.3755
16.59,1.418,6.38968
16.6,1.419,6.40387
16.61,1.419,6.41806
16.62,1.419,6.43225
16.62,1.419,6.43225
16.63,1.419,6.44644
16.64,1.419,6.46063
16.65,1.419,6.47482
16.66,1.419,6.48901
16.67,1.419,6.5032
16.67,1.419,6.5032
16.68,1.419,6.51739
16.69,1.419,6.53158
16.7,1.419,6.54577
16.71,1.419,6.55996
16.72,1.419,6.57415
16.72,1.419,6.57415
16.73,1.419,6.58834
16.74,1.419,6.60253
16.75,1.419,6.61672
16.76,1.419,6.63091
16.77,1.419,6.6451
16.77,1.419,6.6451
16.78,1.419,6.65929
16.79,1.419,6.67348
16.8,1.419,6.68767
16.81,1.42,6.70187
16.82,1.42,6.71607
16.82,1.42,6.71607
16.83,1.419,6.73026
16.84,1.419,6.74445
16.85,1.419,6.75864
16.86,1.419,6.77283
16.86,1.419,6.77283
16.87,1.419,6.78702
16.88,1.419,6.80121
16.89,1.42,6.81541
16.9,1.42,6.82961
16.91,1.42,6.84381
16.91,1.42,6.84381
16.92,1.42,6.85801
16.93,1.42,6.87221
16.94,1.42,6.88641
16.95,1.42,6.90061
16.96,1.42,6.91481
16.97,1.42,6.92901
16.97,1.42,6.92901
16.98,1.42,6.94321
16.99,1.42,6.95741
17,1.42,6.97161
17.01,1.421,6.98582
17.01,1.421,6.98582
17.02,1.421,7.00003
17.03,1.421,7.01424
17.04,1.421,7.02845
17.05,1.421,7.04266
17.06,1.421,7.05687
17.07,1.421,7.07108
17.07,1.421,7.07108
17.08,1.421,7.08529
17.09,1.421,7.0995
17.1,1.421,7.11371
17.11,1.421,7.12792
17.12,1.421,7.14213
17.12,1.421,7.14213
17.13,1.422,7.15635
17.14,1.421,7.17056
17.15,1.421,7.18477
17.16,1.421,7.19898
17.17,1.421,7.21319
17.17,1.421,7.21319
17.18,1.421,7.2274
17.19,1.421,7.24161
17.2,1.421,7.25582
17.21,1.421,7.27003
17.22,1.421,7.28424
17.22,1.421,7.28424
17.23,1.422,7.29846
17.24,1.422,7.31268
17.25,1.422,7.3269
17.26,1.422,7.34112
17.27,1.422,7.35534
17.27,1.423,7.35534
17.28,1.423,7.36957
17.29,1.423,7.3838
17.3,1.423,7.39803
17.31,1.422,7.41225
17.32,1.422,7.42647
17.32,1.422,7.42647
17.33,1.422,7.44069
17.34,1.422,7.45491
17.35,1.422,7.46913
17.36,1.422,7.48335
17.37,1.423,7.49758
17.37,1.423,7.49758
17.38,1.423,7.51181
17.39,1.423,7.52604
17.4,1.423,7.54027
17.41,1.423,7.5545
17.42,1.423,7.56873
17.42,1.423,7.56873
17.43,1.423,7.58296
17.44,1.423,7.59719
17.45,1.423,7.61142
17.46,1.423,7.62565
17.47,1.424,7.63989
17.47,1.424,7.63989
17.48,1.424,7.65413
17.49,1.424,7.66837
17.5,1.424,7.68261
17.51,1.424,7.69685
17.52,1.424,7.71109
17.52,1.425,7.71109
17.53,1.425,7.72534
17.54,1.425,7.73959
17.55,1.426,7.75385
17.56,1.426,7.76811
17.57,1.426,7.78237
17.57,1.426,7.78237
17.58,1.425,7.79662
