Temp (K) ,cp (J/g-K),Enthalpy (J/g)
305.75,1.172136385,36.62510525
305.85,1.173746,36.74247985
305.95,1.174647385,36.85994459
306.05,1.17542,36.97748659
306.15,1.176257,37.09511229
306.25,1.177931,37.21290539
306.35,1.178639231,37.33076931
306.45,1.180442,37.44881351
306.55,1.181794077,37.56699292
306.65,1.182192091,37.68521213
306.75,1.183596846,37.80357181
306.85,1.184627,37.92203451
306.95,1.185335231,38.04056804
307.05,1.186529272,38.15922096
307.15,1.187781846,38.27799915
307.25,1.187975,38.39679665
307.35,1.189842154,38.51578086
307.45,1.191323,38.63491316
307.55,1.192095615,38.75412272
307.65,1.193529637,38.87347569
307.75,1.194155923,38.99289128
307.85,1.195888454,39.11248013
307.95,1.196666923,39.23214682
308.05,1.198247272,39.35197155
308.15,1.199499846,39.47192153
308.25,1.201062637,39.59202779
308.35,1.202204,39.71224819
308.45,1.202660546,39.83251425
308.55,1.204650615,39.95297931
308.65,1.205552,40.07353451
308.75,1.207483538,40.19428286
308.85,1.2089,40.31517286
308.95,1.210058923,40.43617876
309.05,1.211106637,40.55728942
309.15,1.212763077,40.67856573
309.25,1.213998091,40.79996554
309.35,1.216111077,40.92157664
309.45,1.217346091,41.04331125
309.55,1.219265923,41.16523785
309.65,1.220541909,41.28729204
309.75,1.222292,41.40952124
309.85,1.224726909,41.53199393
309.95,1.225768769,41.6545708
310.05,1.227922728,41.77736308
310.15,1.229953769,41.90035845
310.25,1.231270728,42.02348553
310.35,1.232851077,42.14677063
310.45,1.234999182,42.27027055
310.55,1.237036077,42.39397416
310.65,1.238879818,42.51786214
310.75,1.241671769,42.64202932
310.85,1.243521363,42.76638146
310.95,1.246371846,42.89101864
311.05,1.249456454,43.01596429
311.15,1.252102077,43.14117449
311.25,1.255315454,43.26670604
311.35,1.257703538,43.39247639
311.45,1.261022272,43.51857862
311.55,1.264261571,43.64500478
311.65,1.268327,43.77183748
311.75,1.271854357,43.89902291
311.85,1.2764459,44.0266675
311.95,1.2821375,44.15488125
312.05,1.2896705,44.2838483
312.15,1.294632714,44.41331157
312.25,1.3002167,44.54333324
312.35,1.307905143,44.67412376
312.45,1.318394818,44.80596324
312.55,1.329878693,44.93895111
312.65,1.348070272,45.07375814
312.75,1.354151693,45.20917331
312.85,1.363745,45.34554781
312.95,1.380613769,45.48360918
313.05,1.393268272,45.62293601
313.15,1.408943,45.76383031
313.25,1.421193637,45.90594967
313.35,1.444225769,46.05037225
313.45,1.455434546,46.19591571
313.55,1.471074154,46.34302312
313.65,1.490436363,46.49206676
313.75,1.505975214,46.64266428
313.85,1.5207662,46.7947409
