Temp (K) ,cp (J/g-C),Enthalpy (J/g)
299.05,1.115512727,28.72566063
299.15,1.116816154,28.83734225
299.25,1.116600909,28.94900234
299.35,1.117145,29.06071684
299.45,1.117533636,29.1724702
299.55,1.118526154,29.28432282
299.65,1.119010454,29.39622386
299.75,1.119644231,29.50818829
299.85,1.119787727,29.62016706
299.95,1.120762307,29.73224329
300.05,1.121653182,29.84440861
300.15,1.122538077,29.95666242
300.25,1.123829546,30.06904537
300.35,1.124708462,30.18151622
300.45,1.125150909,30.29403131
300.55,1.125695,30.40660081
300.65,1.125695,30.51917031
300.75,1.126488928,30.6318192
300.85,1.1269775,30.74451695
300.95,1.127954643,30.85731241
301.05,1.128773,30.97018971
301.15,1.128870715,31.08307679
301.25,1.129286,31.19600539
301.35,1.130364615,31.30904185
301.45,1.131291364,31.42217098
301.55,1.1321075,31.53538173
301.65,1.1331335,31.64869508
301.75,1.134245,31.76211958
301.85,1.1345015,31.87556973
301.95,1.135405357,31.98911027
302.05,1.136981,32.10280837
302.15,1.136871072,32.21649548
302.25,1.138178,32.33031328
302.35,1.138275715,32.44414085
302.45,1.139375,32.55807835
302.55,1.139619285,32.67204028
302.65,1.1399735,32.78603763
302.75,1.140962857,32.90013391
302.85,1.14194,33.01432791
302.95,1.142729231,33.12860083
303.05,1.142872727,33.24288811
303.15,1.143715769,33.35725968
303.25,1.1442485,33.47168453
303.35,1.14536,33.58622053
303.45,1.146215,33.70084203
303.55,1.1466425,33.81550628
303.65,1.147925,33.93029878
303.75,1.149146428,34.04521343
303.85,1.1493785,34.16015128
303.95,1.150551072,34.27520638
304.05,1.151345,34.39034088
304.15,1.152566428,34.50559753
304.25,1.15391,34.62098853
304.35,1.154304615,34.73641899
304.45,1.154081,34.85182709
304.55,1.1551925,34.96734634
304.65,1.156304,35.08297674
304.75,1.157391072,35.19871585
304.85,1.158418182,35.31455766
304.95,1.159368846,35.43049455
305.05,1.160128182,35.54650737
305.15,1.160881538,35.66259552
305.25,1.161760454,35.77877157
305.35,1.162328462,35.89500441
305.45,1.163625909,36.011367
305.55,1.163643846,36.12773139
305.65,1.16588,36.24431939
305.75,1.165945769,36.36091396
305.85,1.16759,36.47767296
305.95,1.168510769,36.59452404
306.05,1.1693,36.71145404
306.15,1.170155,36.82846954
306.25,1.171865,36.94565604
306.35,1.172588462,37.06291489
306.45,1.17443,37.18035789
306.55,1.175811154,37.297939
306.65,1.176217727,37.41556078
306.75,1.177652693,37.53332605
306.85,1.178705,37.65119655
306.95,1.179428462,37.76913939
307.05,1.180648182,37.88720421
307.15,1.181927693,38.00539698
307.25,1.182125,38.12360948
307.35,1.184032307,38.24201271
307.45,1.185545,38.36056721
307.55,1.186334231,38.47920063
307.65,1.187799091,38.59798054
307.75,1.188438846,38.71682443
307.85,1.190208636,38.83584529
307.95,1.191003846,38.95494567
308.05,1.192618182,39.07420749
308.15,1.193897693,39.19359726
308.25,1.195494091,39.31314667
308.35,1.19666,39.43281267
308.45,1.197126364,39.55252531
308.55,1.199159231,39.67244123
308.65,1.20008,39.79244923
308.75,1.202053077,39.91265454
308.85,1.2035,40.03300454
308.95,1.204683846,40.15347292
309.05,1.205754091,40.27404833
309.15,1.207446154,40.39479295
309.25,1.208707727,40.51566372
309.35,1.210866154,40.63675034
309.45,1.212127727,40.75796311
309.55,1.214088846,40.87937199
309.65,1.215392273,41.00091122
309.75,1.21718,41.12262922
309.85,1.219667273,41.24459595
309.95,1.220731538,41.3666691
310.05,1.222931818,41.48896228
310.15,1.225006538,41.61146294
310.25,1.226351818,41.73409812
310.35,1.227966154,41.85689473
310.45,1.230160454,41.97991078
310.55,1.232241154,42.10313489
310.65,1.234124546,42.22654735
310.75,1.236976538,42.350245
310.85,1.238865909,42.47413159
310.95,1.241777693,42.59830936
311.05,1.244928636,42.72280223
311.15,1.247631154,42.84756534
311.25,1.250913636,42.97265671
311.35,1.253353077,43.09799201
311.45,1.256743182,43.22366633
311.55,1.260052143,43.34967155
311.65,1.264205,43.47609205
311.75,1.267808215,43.60287287
311.85,1.2724985,43.73012272
311.95,1.2783125,43.85795397
312.05,1.2860075,43.98655472
312.15,1.291076428,44.11566236
312.25,1.2967805,44.24534041
312.35,1.304634285,44.37580384
312.45,1.315349546,44.50733879
312.55,1.327080385,44.64004683
312.65,1.345663182,44.77461315
312.75,1.351875385,44.90980069
312.85,1.361675,45.04596819
312.95,1.378906538,45.18385884
313.05,1.391833182,45.32304216
313.15,1.407845,45.46382666
313.25,1.420359091,45.60586257
313.35,1.443886538,45.75025122
313.45,1.455336364,45.89578486
313.55,1.471312307,46.04291609
313.65,1.491090909,46.19202518
313.75,1.506963928,46.34272157
313.85,1.522073,46.49492887
313.95,1.542202143,46.64914909
314.05,1.567652273,46.80591432
314.15,1.587395,46.96465382
314.25,1.609625,47.12561632
314.35,1.63271,47.28888732
314.45,1.657660454,47.45465336
314.55,1.676051923,47.62225855
314.65,1.71308,47.79356655
314.75,1.745898846,47.96815644
314.85,1.775261818,48.14568262
314.95,1.806946785,48.3263773
315.05,1.8417575,48.51055305
315.15,1.881515,48.69870455
315.25,1.921933182,48.89089787
315.35,1.970237693,49.08792164
315.45,2.015672273,49.28948886
315.55,2.065278928,49.49601676
315.65,2.117883636,49.70780512
315.75,2.165703846,49.9243755
315.85,2.219628636,50.14633837
315.95,2.272381538,50.37357652
316.05,2.323938636,50.60597039
316.15,2.379186072,50.84388899
316.25,2.431357727,51.08702477
316.35,2.477976154,51.33482238
316.45,2.522143182,51.5870367
316.55,2.570278572,51.84406456
316.65,2.607565454,52.1048211
316.75,2.640623462,52.36888345
316.85,2.667648636,52.63564831
316.95,2.690345,52.90468281
317.05,2.704180454,53.17510086
317.15,2.720880715,53.44718893
317.25,2.726954546,53.71988438
317.35,2.727965,53.99268088
317.45,2.72882,54.26556288
317.55,2.727175769,54.53828046
317.65,2.723223636,54.81060282
317.75,2.716718462,55.08227467
317.85,2.712186364,55.35349331
317.95,2.704419615,55.62393527
318.05,2.697029546,55.89363822
318.15,2.689621538,56.16260038
318.25,2.679074546,56.43050783
318.35,2.669627693,56.6974706
318.45,2.655756364,56.96304624
318.55,2.646148077,57.22766104
318.65,2.638361,57.49149714
318.75,2.635075357,57.75500468
318.85,2.631692,58.01817388
318.95,2.629701072,58.28114399
319.05,2.6298965,58.54413364
319.15,2.630189643,58.8071526
319.25,2.634847727,59.07063737
319.35,2.644438077,59.33508118
319.45,2.660762,59.60115738
319.55,2.698956072,59.87105299
319.65,2.73737,60.14478999
319.75,2.787420385,60.42353203
319.85,2.839425909,60.70747462
319.95,2.902319231,60.99770654
320.05,2.956560909,61.29336263
320.15,3.0267875,61.59604138
320.25,3.09134,61.90517538
320.35,3.168158462,62.22199123
320.45,3.242208636,62.54621209
320.55,3.334098928,62.87962198
320.65,3.411420909,63.22076408
320.75,3.515288462,63.57229292
320.85,3.612423636,63.93353528
320.95,3.712680715,64.30480336
321.05,3.835656364,64.68836899
321.15,3.957516072,65.0841206
321.25,4.084305909,65.49255119
321.35,4.222382857,65.91478948
321.45,4.366533636,66.35144284
321.55,4.516258572,66.8030687
321.65,4.686692273,67.27173792
321.75,4.853006428,67.75703857
321.85,5.043875,68.26142607
321.95,5.240415385,68.78546761
322.05,5.453135,69.33078111
322.15,5.689135357,69.89969464
322.25,5.9221025,70.49190489
322.35,6.195661785,71.11147107
322.45,6.460661818,71.75753725
322.55,6.754901,72.43302735
322.65,7.067012273,73.13972858
322.75,7.403333,73.88006188
322.85,7.78008875,74.65807075
322.95,8.150008572,75.47307161
323.05,8.56255625,76.32932724
323.15,9.014837003,77.23081094
323.25,9.493081253,78.18011906
323.35,10.018892,79.18200826
323.45,10.55983625,80.23799189
323.55,11.173712,81.35536309
323.65,11.84147577,82.53951066
323.75,12.587654,83.79827606
323.85,13.40487615,85.13876368
323.95,14.32203219,86.5709669
324.05,15.39597385,88.11056428
324.15,16.65340029,89.77590431
324.25,18.10704731,91.58660904
324.35,19.82016941,93.56862598
324.45,22.04783,95.77340898
324.55,24.81214,98.25462298
324.65,28.165925,101.0712155
324.75,32.59498786,104.3307143
324.85,38.057015,108.1364158
324.95,44.01015304,112.5374311
325.05,50.5844525,117.5958763
325.15,57.70877288,123.3667536
325.25,64.796975,129.8464511
325.35,72.80360666,137.1268118
325.45,79.24140977,145.0509528
325.55,85.59700785,153.6106535
325.65,88.96532478,162.507186
325.75,89.92882308,171.5000683
325.85,86.22824825,180.1228932
