Temp (K) ,cp (J/g-K),Enthalpy (J/g)
303.75,1.241857143,37.60769363
303.85,1.24202,37.73189563
303.95,1.242842857,37.85617992
304.05,1.2434,37.98051992
304.15,1.244257143,38.10494563
304.25,1.2452,38.22946563
304.35,1.245476923,38.35401333
304.45,1.24532,38.47854533
304.55,1.2461,38.60315533
304.65,1.24688,38.72784333
304.75,1.247642857,38.85260761
304.85,1.248363636,38.97744397
304.95,1.249030769,39.10234705
305.05,1.249563636,39.22730342
305.15,1.250092308,39.35231265
305.25,1.250709091,39.47738356
305.35,1.251107692,39.60249432
305.45,1.252018182,39.72769614
305.55,1.252030769,39.85289922
305.65,1.2536,39.97825922
305.75,1.253646154,40.10362383
305.85,1.2548,40.22910383
305.95,1.255446154,40.35464845
306.05,1.256,40.48024845
306.15,1.2566,40.60590845
306.25,1.2578,40.73168845
306.35,1.258307692,40.85751922
306.45,1.2596,40.98347922
306.55,1.260569231,41.10953614
306.65,1.260854545,41.2356216
306.75,1.261861539,41.36180775
306.85,1.2626,41.48806775
306.95,1.263107692,41.61437852
307.05,1.263963636,41.74077488
307.15,1.264861539,41.86726104
307.25,1.265,41.99376104
307.35,1.266338461,42.12039488
307.45,1.2674,42.24713488
307.55,1.267953846,42.37393027
307.65,1.268981818,42.50082845
307.75,1.269430769,42.62777153
307.85,1.270672727,42.7548388
307.95,1.271230769,42.88196188
308.05,1.272363636,43.00919824
308.15,1.273261539,43.13652439
308.25,1.274381818,43.26396258
308.35,1.2752,43.39148258
308.45,1.275527273,43.5190353
308.55,1.276953846,43.64673069
308.65,1.2776,43.77449069
308.75,1.278984615,43.90238915
308.85,1.28,44.03038915
308.95,1.280830769,44.15847223
309.05,1.281581818,44.28663041
309.15,1.282769231,44.41490733
309.25,1.283654545,44.54327279
309.35,1.285169231,44.67178971
309.45,1.286054545,44.80039516
309.55,1.287430769,44.92913824
309.65,1.288345455,45.05797279
309.75,1.2896,45.18693279
309.85,1.291345455,45.31606733
309.95,1.292092308,45.44527656
310.05,1.293636364,45.5746402
310.15,1.295092308,45.70414943
310.25,1.296036364,45.83375307
