Temp (C),cp (J/g-C),Enthalpy (J/g)
27.5321049692909,3.8184221105527643,61.45624974874372
27.90898939140145,3.9236281407035176,62.921016582914575
28.285873813512,4.020035175879396,64.42137638190954
28.662758235622555,4.124512562814071,65.96388040201005
29.039642657733108,4.186658291457287,67.5338135678392
29.41652707984366,4.243869346733669,69.12527286432162
29.793411501954214,4.28827135678392,70.73702010050252
30.170295924064767,4.307070351758794,72.3578015075377
30.54718034617532,4.317582914572864,73.98380251256283
30.924064768285874,4.314185929648241,75.61027286432162
31.300949190396423,4.252623115577889,77.22549095477387
31.67783361250698,4.059628140703513,78.78720402010052
32.05471803461753,3.79689447236181,80.2543391959799
32.431602456728086,3.5127889447236162,81.61797135678393
32.808486878838636,3.232592964824119,82.8778959798995
33.18537130094919,3.0196884422110513,84.04678391959801
33.56225572305974,2.831386934673367,85.13916783919598
33.93914014517029,2.7214221105527643,86.17897989949748
34.31602456728085,2.6274723618090445,87.18204120603016
34.6929089893914,2.5708391959798997,88.15881959798996
35.069793411501955,2.545718592964824,89.12202110552764
35.446677833612505,2.5285326633165828,90.07737487437186
35.82356225572306,2.511266331658291,91.02596080402012
36.20044667783361,2.4938844221105527,91.9683135678392
36.57733109994417,2.4852311557788944,92.90637889447237
36.95421552205472,2.4826532663316585,93.84240603015076
37.33109994416527,2.4825778894472363,94.77776783919597
37.707984366275824,2.483381909547739,95.71325226130655
38.08486878838637,2.4908793969849246,96.65078592964822
38.46175321049693,2.501914572864322,97.59197939698493
38.83863763260748,2.5219849246231156,98.53961557788945
39.215522054718036,2.549864321608041,99.49634773869349
39.592406476828586,2.6056331658291456,100.46952663316583
39.96929089893914,2.6864522613065334,101.47080100502514
40.34617532104969,2.7883417085427147,102.50628844221106
40.72305974316024,2.9223015075376892,103.58876733668343
41.0999441652708,3.086969849246232,104.72925829145728
41.47682858738135,3.309884422110552,105.9438959798995
41.853713009491905,3.545452261306537,107.2438462311558
42.230597431602455,3.8163718592964857,108.64601206030152
42.60748185371301,4.15554773869347,110.1637110552764
42.98436627582356,4.499291457286433,111.81143467336683
43.36125069793412,4.919175879396993,113.60928040201009
43.73813512004467,5.366140703517593,115.56661155778896
44.11501954215522,5.80334673366834,117.6926175879397
44.491903964265774,6.267582914572867,119.98954170854273
44.86878838637632,6.772874371859297,122.4752567839196
45.24567280848688,7.281819095477395,125.1521804020101
45.62255723059743,7.7860552763819095,128.02103417085428
45.999441652707986,8.287100502512569,131.07606030150757
46.376326074818536,8.821040201005028,134.33236984924625
46.75321049692909,9.348693467336693,137.78385879396993
47.13009491903964,9.87527638190955,141.4309884422111
47.50697934115019,10.378678391959797,145.27002211055276
47.88386376326075,10.900713567839201,149.30538592964828
48.2607481853713,11.39273366834171,153.53617688442213
48.637632607481855,11.897929648241211,157.9538723618091
49.014517029592405,12.386060301507536,162.5580904522613
49.39140145170296,12.82966331658292,167.33559497487445
49.76828587381351,13.151105527638194,172.2540994974875
50.14517029592407,13.240809045226131,177.23764070351768
50.52205471803462,13.159085427135677,182.2147015075377
50.89893914014517,12.828396984924623,187.11007537688442
51.275823562255724,11.84438190954772,191.72885527638198
51.65270798436627,9.968532663316575,195.77673618090455
52.02959240647683,7.349341708542695,198.91489045226135
52.40647682858738,5.242407035175875,201.1525502512563
52.783361250697936,4.0265929648241015,202.8233231155779
53.160245672808486,3.3102562814070295,204.1605798994975
53.53713009491904,2.8292763819095437,205.28906582914573
53.91401451702959,2.5296984924623103,206.27918894472361
54.29089893914014,2.3590351758793964,207.1895472361809
54.6677833612507,2.2517989949748736,208.04935477386937
55.04466778336125,2.177748743718593,208.87925175879397
55.421552205471805,2.152366834170854,209.6938934673367
55.798436627582355,2.1347135678391957,210.50105577889448
