Temperature,Heat Capacity (Normalized),Enthalpy
40.4,2.631,87.111
40.5,2.618,87.3728
40.6,2.605,87.6333
40.7,2.581,87.8914
40.8,2.571,88.1485
40.9,2.567,88.4052
41,2.557,88.6609
41.1,2.553,88.9162
41.2,2.544,89.1706
41.3,2.541,89.4247
41.4,2.535,89.6782
41.5,2.532,89.9314
41.6,2.526,90.184
41.7,2.522,90.4362
41.8,2.515,90.6877
41.9,2.513,90.939
42,2.508,91.1898
42.1,2.503,91.4401
42.2,2.5,91.6901
42.3,2.494,91.9395
42.4,2.493,92.1888
42.5,2.491,92.4379
42.6,2.487,92.6866
42.7,2.485,92.9351
42.8,2.485,93.1836
42.9,2.484,93.432
43,2.482,93.6802
43.1,2.483,93.9285
43.2,2.48,94.1765
43.3,2.482,94.4247
43.4,2.483,94.673
43.5,2.482,94.9212
43.6,2.482,95.1694
43.7,2.481,95.4175
43.8,2.483,95.6658
43.9,2.485,95.9143
44,2.486,96.1629
44.1,2.488,96.4117
44.2,2.491,96.6608
44.3,2.494,96.9102
44.4,2.495,97.1597
44.5,2.499,97.4096
44.6,2.503,97.6599
44.7,2.509,97.9108
44.8,2.513,98.1621
44.9,2.519,98.414
45,2.525,98.6665
45.1,2.531,98.9196
45.2,2.539,99.1735
45.3,2.548,99.4283
45.4,2.555,99.6838
45.5,2.573,99.9411
45.6,2.587,100.1998
45.7,2.605,100.4603
45.8,2.623,100.7226
45.9,2.644,100.987
46,2.676,101.2546
46.1,2.689,101.5235
46.2,2.713,101.7948
46.3,2.742,102.069
46.4,2.766,102.3456
46.5,2.805,102.6261
46.6,2.835,102.9096
46.7,2.875,103.1971
46.8,2.91,103.4881
46.9,2.946,103.7827
47,2.999,104.0826
47.1,3.039,104.3865
47.2,3.081,104.6946
47.3,3.135,105.0081
47.4,3.183,105.3264
47.5,3.258,105.6522
47.6,3.317,105.9839
47.7,3.358,106.3197
47.8,3.433,106.663
47.9,3.491,107.0121
48,3.575,107.3696
48.1,3.648,107.7344
48.2,3.724,108.1068
48.3,3.778,108.4846
48.4,3.87,108.8716
48.5,3.97,109.2686
48.6,4.026,109.6712
48.7,4.139,110.0851
48.8,4.228,110.5079
48.9,4.315,110.9394
49,4.421,111.3815
49.1,4.503,111.8318
49.2,4.633,112.2951
49.3,4.729,112.768
49.4,4.828,113.2508
49.5,4.954,113.7462
49.6,5.06,114.2522
49.7,5.163,114.7685
49.8,5.31,115.2995
49.9,5.424,115.8419
50,5.546,116.3965
50.1,5.648,116.9613
50.2,5.778,117.5391
50.3,5.875,118.1266
50.4,6.021,118.7287
50.5,6.152,119.3439
50.6,6.263,119.9702
50.7,6.415,120.6117
50.8,6.531,121.2648
50.9,6.673,121.9321
51,6.798,122.6119
51.1,6.956,123.3075
51.2,7.072,124.0147
51.3,7.208,124.7355
51.4,7.338,125.4693
51.5,7.491,126.2184
51.6,7.632,126.9816
51.7,7.747,127.7563
51.8,7.863,128.5426
51.9,8.009,129.3435
52,8.166,130.1601
52.1,8.268,130.9869
52.2,8.449,131.8318
52.3,8.575,132.6893
52.4,8.703,133.5596
52.5,8.838,134.4434
52.6,9.001,135.3435
52.7,9.1,136.2535
52.8,9.258,137.1793
52.9,9.399,138.1192
53,9.519,139.0711
53.1,9.678,140.0389
53.2,9.818,141.0207
53.3,9.957,142.0164
53.4,10.081,143.0245
53.5,10.204,144.0449
53.6,10.351,145.08
53.7,10.504,146.1304
53.8,10.627,147.1931
53.9,10.763,148.2694
54,10.908,149.3602
54.1,11.058,150.466
54.2,11.176,151.5836
54.3,11.318,152.7154
54.4,11.422,153.8576
54.5,11.585,155.0161
54.6,11.71,156.1871
